age,age_lower_bracket
0,0
1,1
2,2
3,3
4,3
5,3
6,6
7,6
8,6
9,6
10,6
11,11
12,11
13,11
14,11
15,11
16,16
17,16
18,16
19,16
20,16
21,21
22,21
23,21
24,21
25,21
26,21
27,21
28,21
29,21
30,30
31,30
32,30
33,30
34,30
35,30
36,30
37,30
38,30
39,30
40,40
41,40
42,40
43,40
44,40
45,40
46,40
47,40
48,40
49,40
50,50
51,50
52,50
53,50
54,50
55,50
56,50
57,50
58,50
59,50
60,60
61,60
62,60
63,60
64,60
65,60
66,60
67,60
68,60
69,60
70,70
71,70
72,70
73,70
74,70
75,70
76,70
77,70
78,70
79,70
80,80
81,80
82,80
83,80
84,80
85,80
86,80
87,80
88,80
89,80
90,80
91,80
92,80
93,80
94,80
95,80
96,80
97,80
98,80
99,80
