grower_id,activity,avg_daily_dose_method_3_outdoor
1,Harvesting,0.0560318468088001
1,Preparing beds,0.023735641631756864
1,Seeding,0.008420338573110288
1,Transplanting,0.010178280907220234
1,Watering,0.04740288083806198
1,Weeding,0.0012722851134025293
2,Harvesting,0.09510673234811166
2,Preparing beds,0.09445255051045907
2,Seeding,0.05202764689084031
2,Transplanting,0.29386494252873563
2,Watering,0.11239813129149712
2,Weeding,0.3503991754122939
5,Harvesting,0.007806248625155814
5,Preparing beds,0.017760120519674433
5,Seeding,0.008976582653965882
5,Transplanting,0.020913185394544172
5,Watering,0.047476952612037306
5,Weeding,0.11196597718925187
6,Harvesting,0.005646524518090208
6,Preparing beds,0.019574618329379387
6,Seeding,0.0008141500467944018
6,Transplanting,0.00490240888392328
6,Watering,0.0061389539818771455
6,Weeding,0.24077831061326063
7,Harvesting,0.01681022326454736
7,Preparing beds,0.39870627003452386
7,Seeding,0.06621183388130211
7,Transplanting,0.20456613216333583
7,Watering,0.03412143586521091
7,Weeding,0.0738756166986471
8,Harvesting,0.06849767729078073
8,Preparing beds,0.015834187098554914
8,Seeding,0.003560575227241894
8,Transplanting,0.06299804920494576
8,Watering,0.01498828587334335
8,Weeding,0.011058528529792899
9,Harvesting,0.002068076081007116
9,Preparing beds,0.0049534756431308165
9,Seeding,0.002646571272187036
9,Transplanting,0.0
9,Watering,0.001981390257252326
9,Weeding,0.017068261787473612
10,Harvesting,0.004868348253864562
10,Preparing beds,0.013267807426269469
10,Seeding,0.002964041853034433
10,Transplanting,0.005171991618727654
10,Watering,0.01081251902562154
10,Weeding,0.019746873132156135
11,Harvesting,0.03480134169789342
11,Preparing beds,0.023624268451854665
11,Seeding,0.0015749512301236439
11,Transplanting,0.012633479759916539
11,Watering,0.017781707436879856
11,Weeding,0.0031499024602472878
12,Harvesting,0.02384037062835738
12,Preparing beds,0.0727877863789194
12,Seeding,0.011138243803268433
12,Transplanting,0.1620069591054813
12,Watering,0.04627961529439363
12,Weeding,0.13140863241848463
13,Harvesting,0.024011088630854646
13,Preparing beds,0.0015285002064273985
13,Seeding,0.00017514074616584564
13,Transplanting,0.0013162092423176168
13,Watering,0.002094683321604504
13,Weeding,0.0015624677452943936
14,Harvesting,0.01804451568858428
14,Preparing beds,0.009013171985435853
14,Seeding,0.0030124669807953166
14,Transplanting,0.011258388662811451
14,Watering,0.026122853751695582
14,Weeding,0.02552116798743486
15,Harvesting,0.02228551021217979
15,Preparing beds,0.02708736047889256
15,Seeding,0.10342446728304432
15,Transplanting,0.0
15,Watering,0.0
15,Weeding,0.035131485712018226
16,Harvesting,0.08040930364995158
16,Preparing beds,0.056859126399356294
16,Seeding,0.013844329361570741
16,Transplanting,0.07712180539766747
16,Watering,0.02880001543794648
16,Weeding,0.07244775658568761
17,Harvesting,0.00914605657406937
17,Preparing beds,0.017132168188996183
17,Seeding,0.018699188171535944
17,Transplanting,0.013796779287612661
17,Watering,0.006616063417901823
17,Weeding,0.09600404825990116
21,Harvesting,0.05930832298793888
21,Preparing beds,0.03646191288705474
21,Seeding,0.03688942804612817
21,Transplanting,0.015349504271372449
21,Watering,0.034543224853133186
21,Weeding,0.3669926930337231
23,Harvesting,0.022713763966906306
23,Preparing beds,0.0532931294227125
23,Seeding,0.013376428311684204
23,Transplanting,0.03355553899214668
23,Watering,0.015649439968559636
23,Weeding,0.05157610622866989
25,Harvesting,0.029201104936623878
25,Preparing beds,0.04496560217428231
25,Seeding,0.020500800795942634
25,Transplanting,0.02042393651872164
25,Watering,0.14575663083307044
25,Weeding,0.05187240651314033
26,Harvesting,0.044418797760247763
26,Preparing beds,0.02478204682234217
26,Seeding,0.024392764567927556
26,Transplanting,0.05360585896443253
26,Watering,0.04196744788267353
26,Weeding,0.10658886632180169
27,Harvesting,0.05308686417881821
27,Preparing beds,0.004775658568762016
27,Seeding,0.01666400011227598
27,Transplanting,0.050483114161275086
27,Watering,0.012908672825799149
27,Weeding,0.07590248831628144
28,Harvesting,0.07229640038548084
28,Preparing beds,0.051152045060091036
28,Seeding,0.015241463517325587
28,Transplanting,0.09686796813233595
28,Watering,0.015024476724697207
28,Weeding,0.17361720442180212
30,Harvesting,0.008530358966302727
30,Preparing beds,0.04466252230214214
30,Seeding,0.008205392910443577
30,Transplanting,0.019822929407408235
30,Watering,0.015246324120725192
30,Weeding,0.05379542249701704
